arrival_time,input_tokens,output_tokens
198.701,1464,69
198.801,1526,28
199.009,680,56
199.394,376,36
199.586,1324,336
199.749,369,177
199.997,767,413
200.394,303,20
200.554,2797,466
200.688,3167,322
200.83,819,3
200.893,257,52
201.301,1464,84
201.334,1433,59
201.817,852,497
201.893,2074,28
202.069,3850,174
202.096,3362,99
202.335,832,332
202.335,442,23
202.52,560,469
202.694,700,359
202.802,1776,25
202.992,8814,248
203.042,1464,87
203.323,2589,406
203.323,1081,227
203.332,1171,80
203.501,340,114
203.698,3800,84
204.573,3888,456
204.75,3983,302
205.023,4074,461
205.148,369,79
205.577,4445,439
205.794,1051,26
205.806,257,49
206.323,993,26
206.446,689,66
206.491,8817,279
206.542,1433,56
206.574,856,28
206.595,7850,168
207.041,4214,161
207.194,1123,26
207.298,606,68
207.442,253,41
207.709,256,44
207.808,1231,20
207.823,1112,26
208.207,1167,78
208.238,1287,26
208.332,1865,83
208.575,819,28
208.901,1167,26
209.405,964,100
209.83,1804,26
209.898,9155,305
209.901,846,355
209.942,1170,77
210.056,3845,62
210.305,960,78
210.398,438,18
210.509,483,252
210.594,1201,28
210.958,1058,390
211.096,4223,278
211.331,1779,29
211.598,354,83
211.606,611,400
211.651,1659,121
211.708,375,78
211.797,973,26
211.897,669,133
211.991,1464,62
212.073,1464,85
212.198,4045,317
212.207,925,26
212.207,1032,28
212.241,1222,167
212.506,633,412
212.698,8817,321
213.194,1748,27
213.24,3753,117
213.457,1433,105
213.574,1039,28
213.823,855,34
213.842,450,231
214.045,6989,95
214.405,1263,32
214.458,3906,958
214.458,386,47
214.572,1791,36
214.648,2393,198
215.268,2747,302
215.268,7872,170
215.739,5311,137
215.825,1480,158
216.042,1480,101
216.191,1187,435
216.696,2061,462
216.869,9154,261
216.943,1419,108
217.306,687,63
217.322,1272,772
217.833,939,81
217.842,6167,89
217.899,4639,87
217.987,819,3
218.405,1205,366
218.835,1197,643
219.069,3941,242
219.571,643,323
219.584,815,23
219.617,496,285
220.149,610,270
220.268,2471,420
220.394,4657,74
220.493,1297,41
220.518,8814,307
220.737,1971,139
220.792,375,49
220.841,686,52
220.957,718,388
221.259,1428,15
221.491,1236,409
221.502,721,19
222.238,1480,127
222.655,1385,129
222.894,489,157
222.901,1271,132
223.25,687,46
223.32,4154,451
223.406,1657,8
223.893,5266,96
223.958,819,3
224.251,3500,401
224.456,824,1
224.846,718,20
224.989,1433,74
225.347,3773,143
225.456,815,23
225.656,4124,425
226.082,5582,33
226.394,619,404
226.488,1172,75
226.59,1103,90
227.337,4085,366
228.209,2264,75
228.24,1480,127
228.742,352,440
229.003,346,62
229.005,1486,391
229.092,689,24
229.577,4157,414
229.749,1205,232
229.904,3203,63
230.334,554,268
230.459,4214,94
230.903,482,151
230.988,1781,33
231.002,630,322
231.408,1031,191
231.456,732,364
232.486,796,306
232.987,1205,500
232.987,8311,309
233.0,1235,373
233.042,819,2
233.353,2684,362
233.456,4124,226
234.49,491,209
234.99,2216,504
234.991,1477,364
235.041,1231,447
235.072,4038,1072
235.082,1094,1000
235.692,610,241
236.082,181,10
236.155,819,3
236.291,4714,478
236.655,3945,239
237.492,184,8
237.654,729,423
237.907,1787,26
238.403,1273,130
238.404,471,208
238.601,483,1
238.693,1813,24
239.084,642,490
239.149,9177,319
239.317,3216,303
239.487,903,33
240.09,142,5
240.249,362,111
240.749,3203,62
241.0,139,504
241.487,615,377
241.593,2698,549
241.957,6767,508
242.751,883,281
243.739,2244,25
244.151,1374,341
244.651,587,109
244.852,483,1
244.958,152,24
245.397,1236,500
245.438,1215,463
245.457,3949,343
245.489,1276,30
245.542,1863,291
245.942,257,24
247.042,1236,251
247.138,3112,387
247.522,975,420
247.652,3851,240
247.802,115657,1211
250.207,1512,661
250.246,1424,451
250.65,1573,758
250.812,707,72
253.151,2526,405
254.002,665,407
255.253,3042,468
256.303,5270,20
256.401,901,398
256.693,3849,210
257.749,376,33
257.792,1236,261
258.239,1457,88
258.759,723,395
259.721,442,185
259.737,794,41
259.948,1480,127
260.471,2918,127
260.491,3920,265
260.72,3764,146
261.588,1280,363
261.689,1652,96
261.869,767,75
262.842,1243,3
263.24,1236,359
263.56,1524,500
264.005,1859,29
264.338,2065,38
264.708,1770,8
264.716,1760,37
264.94,1275,297
264.94,255,22
265.968,8819,296
266.093,826,71
266.441,14801,1330
266.957,1165,28
266.988,7764,199
267.025,1046,26
267.114,1045,28
267.208,2422,947
267.335,5185,115
267.342,1495,445
267.801,1261,396
268.002,2086,386
268.216,9405,138
268.504,2088,38
268.966,8816,262
269.523,917,28
269.616,857,56
270.191,1288,159
270.465,1037,189
271.046,1092,26
271.267,879,8
271.688,1433,58
271.797,584,44
272.063,1136,26
272.956,945,152
273.206,1050,26
273.688,685,56
273.771,1165,26
273.864,431,56
274.502,3701,808
275.364,4260,14
275.565,1484,30
275.816,832,31
275.989,4124,469
276.216,1236,404
276.304,130,16
276.438,2793,393
276.563,254,44
276.835,11591,81
276.943,758,403
277.005,260,64
277.444,2294,113
277.565,1763,26
277.565,8474,318
277.619,1449,149
277.944,2291,155
278.195,3681,105
278.215,819,2
278.273,1305,144
278.506,2797,419
278.591,408,647
278.987,3486,300
279.067,381,89
279.295,8817,334
279.364,249,45
279.445,1087,28
279.746,391,85
280.114,261,47
280.25,465,159
281.218,687,58
281.239,4198,94
281.715,1482,407
282.004,2770,36
282.094,3203,116
282.963,1057,43
283.046,508,471
283.297,1223,101
283.447,6626,148
283.448,695,53
283.901,1198,1000
283.943,436,249
284.688,815,320
284.799,3203,94
284.821,721,24
284.822,4499,105
284.868,1926,119
284.94,1205,500
284.991,72,6
284.991,1028,407
285.944,2263,4
286.217,254,65
286.246,942,402
286.323,539,49
286.499,452,261
286.688,379,33
286.798,3984,396
287.489,1236,270
287.567,729,387
287.626,3337,144
287.837,3849,149
288.197,1001,129
288.198,3681,114
288.241,2224,358
288.62,1142,5
289.212,534,212
289.219,3681,147
289.44,560,412
289.571,908,8
289.592,682,57
289.819,3675,127
290.219,339,754
290.489,3914,283
290.62,1433,65
290.961,3924,247
291.189,3849,92
291.345,1310,455
291.618,721,52
291.946,1433,73
291.947,1008,71
292.12,995,210
292.188,1236,418
292.31,1647,690
292.719,1384,83
293.321,1480,132
293.617,2321,300
293.841,3365,66
293.943,3766,139
294.144,592,357
294.372,3946,307
294.487,4356,384
295.074,1205,282
295.438,1236,465
295.547,2456,146
295.645,373,140
295.645,1792,621
295.695,4291,21
295.969,4075,364
296.26,693,47
296.297,1008,153
296.834,1140,158
297.547,2393,132
297.591,819,2
297.715,8814,297
297.834,4785,517
298.047,980,101
298.547,1886,30
298.573,4370,250
298.823,4232,202
298.823,5278,138
299.002,1039,444
299.546,1251,81
300.46,3633,247
300.865,9494,336
301.506,698,387
301.592,327,104
301.592,1433,93
302.212,371,11
303.299,1236,456
304.324,248,55
304.574,591,85
304.692,756,144
305.101,1715,289
305.491,1236,500
305.52,1362,431
305.77,412,1
306.442,6665,122
306.837,4067,367
307.095,1067,408
307.694,667,280
307.842,838,1
308.004,713,44
308.051,2813,272
308.062,1713,28
308.353,4149,27
308.564,976,19
308.843,259,58
309.004,407,68
309.195,4068,429
309.489,659,511
309.591,348,1
309.814,819,2
310.707,1573,803
310.941,2330,117
311.302,4308,18
311.958,3241,634
311.992,345,30
312.006,4639,146
312.255,1460,26
312.304,2136,140
312.801,1164,85
313.008,1742,28
313.55,687,49
313.6,3918,274
314.007,438,33
314.505,1774,32
314.572,8815,300
314.589,1205,352
314.589,1727,47
314.71,1060,29
315.333,356,84
315.334,8813,291
315.741,812,795
316.017,819,3
316.251,695,6
316.335,1464,81
316.898,3641,277
316.943,568,288
317.346,73,4
317.589,2185,179
317.691,679,46
317.869,640,420
318.272,991,1
318.814,1098,23
318.942,10449,93
318.987,656,10
319.196,3848,123
319.216,2185,215
319.218,4260,14
319.219,2393,165
319.221,490,178
319.223,2933,129
319.506,1751,28
319.554,774,371
319.806,3904,270
319.944,2365,350
320.009,1236,424
320.01,245,30
320.084,121,1
320.25,1276,136
320.602,692,45
320.761,4635,70
320.842,882,91
321.303,1480,125
321.5,256,57
322.008,447,42
322.692,2044,62
322.75,1096,269
322.996,621,134
323.342,954,28
323.351,888,33
323.587,1046,192
323.76,1179,81
323.808,1101,26
323.816,102,37
323.843,1480,121
324.001,1263,28
324.042,5495,270
324.367,562,926
324.46,396,49
324.742,1236,252
325.584,540,8
325.584,3917,333
325.75,712,51
325.815,644,7
325.994,929,28
326.153,686,1
326.243,3998,298
326.249,971,186
326.62,1514,303
326.749,2403,8
327.092,2393,172
327.438,2894,59
327.468,662,25
327.707,819,3
327.75,4349,316
327.755,7630,542
327.835,1729,443
327.957,1102,28
328.006,571,379
328.505,261,55
328.555,618,269
328.584,457,221
328.743,3847,88
329.019,6540,537
329.072,2055,288
329.209,1099,28
329.242,4215,101
329.499,4358,341
329.506,989,79
329.59,1191,1
329.592,252,33
329.749,695,54
330.095,639,53
330.109,1412,104
330.242,971,26
330.462,2468,72
331.001,415,95
331.001,1081,221
331.211,960,262
331.351,1166,26
331.444,344,36
331.504,436,48
331.718,1530,51
332.094,701,102
332.215,348,38
332.355,692,55
332.464,1285,26
332.56,4260,14
332.619,5209,102
332.697,714,52
332.999,689,45
333.005,4040,378
333.053,852,27
333.053,861,143
333.268,875,26
333.334,1270,22
333.443,2093,163
333.443,2662,176
333.748,719,16
333.77,10133,101
334.06,1433,70
334.094,841,178
334.494,442,161
334.963,1812,29
335.246,815,46
335.292,777,541
335.491,694,12
335.59,393,70
335.812,1196,434
335.854,687,42
336.002,3851,127
336.056,4002,471
336.06,3845,161
336.242,1511,495
336.506,9153,308
336.965,694,58
337.21,1236,411
337.211,617,172
337.31,2393,184
337.438,889,37
337.495,680,38
337.552,1230,475
337.799,698,84
337.943,11586,98
338.103,2488,95
338.104,361,59
338.209,956,135
338.347,344,245
338.494,1480,124
338.769,1055,466
339.061,1018,404
339.301,684,55
339.551,1708,129
339.595,763,539
340.003,4287,383
340.062,1863,299
340.194,997,231
340.246,5066,155
340.301,2203,118
340.334,3606,262
340.712,1307,227
340.81,2001,236
